supplier_id,supplier_name,location,lead_time_days,reliability_score,average_delay_days
S002220,Ultra Supply Solutions 2220,Noida,13,79.75,6.99
S002221,NextGen Supply Solutions 2221,Noida,5,91.3,0.37
S002222,Ultra Supply Solutions 2222,Mumbai,13,75.62,7.94
S002223,Pro Supply Solutions 2223,Ahmedabad,23,73.18,7.43
S002224,Industrial Supply Solutions 2224,Pune,17,73.93,7.42
S002225,Industrial Supply Solutions 2225,Ahmedabad,21,89.26,3.52
S002226,Standard Supply Solutions 2226,Hyderabad,5,74.75,1.36
S002227,Power Supply Solutions 2227,Hyderabad,24,78.69,2.43
S002228,NextGen Supply Solutions 2228,Coimbatore,14,83.55,2.75
S002229,Smart Supply Solutions 2229,Gurgaon,11,96.99,2.25
S002230,NextGen Supply Solutions 2230,Kolkata,21,92.01,3.09
S002231,Standard Supply Solutions 2231,Mumbai,6,71.3,1.01
S002232,Pro Supply Solutions 2232,Kochi,16,95.02,3.38
S002233,NextGen Supply Solutions 2233,Ahmedabad,14,93.72,11.98
S002234,Ultra Supply Solutions 2234,Pune,7,90.34,6.23
S002235,Premium Supply Solutions 2235,Jaipur,29,82.57,4.26
S002236,Eco Supply Solutions 2236,Mumbai,13,67.37,8.7
S002237,Smart Supply Solutions 2237,Ahmedabad,4,89.19,5.74
S002238,Smart Supply Solutions 2238,Lucknow,15,82.62,0.55
S002239,Industrial Supply Solutions 2239,Kolkata,30,75.53,6.66
S002240,Power Supply Solutions 2240,Bangalore,21,65.34,3.79
S002241,Smart Supply Solutions 2241,Hyderabad,20,72.86,6.94
S002242,Standard Supply Solutions 2242,Bangalore,28,85.59,2.24
S002243,Industrial Supply Solutions 2243,Ahmedabad,5,68.82,5.89
S002244,Ultra Supply Solutions 2244,Pune,18,87.28,2.48
S002245,Eco Supply Solutions 2245,Mumbai,11,92.87,3.73
S002246,Power Supply Solutions 2246,Jaipur,21,75.82,8.31
S002247,Premium Supply Solutions 2247,Delhi,26,67.79,2.89
S002248,Ultra Supply Solutions 2248,Pune,5,69.75,5.12
S002249,Ultra Supply Solutions 2249,Coimbatore,7,77.17,1.06
S002250,Industrial Supply Solutions 2250,Bangalore,29,92.66,8.31
S002251,Premium Supply Solutions 2251,Hyderabad,16,86.57,6.56
S002252,Premium Supply Solutions 2252,Chennai,11,94.51,9.8
S002253,Smart Supply Solutions 2253,Ahmedabad,7,98.81,6.51
S002254,Premium Supply Solutions 2254,Hyderabad,12,71.89,11.93
S002255,Smart Supply Solutions 2255,Coimbatore,3,88.62,3.05
S002256,Standard Supply Solutions 2256,Bangalore,9,80.86,8.96
S002257,Eco Supply Solutions 2257,Coimbatore,8,81.78,5.3
S002258,Standard Supply Solutions 2258,Gurgaon,5,76.07,4.64
S002259,Pro Supply Solutions 2259,Bangalore,30,76.65,8.83
S002260,NextGen Supply Solutions 2260,Mumbai,25,87.99,11.48
S002261,Pro Supply Solutions 2261,Mumbai,29,86.11,9.12
S002262,NextGen Supply Solutions 2262,Chennai,9,75.83,4.1
S002263,Pro Supply Solutions 2263,Chennai,11,69.03,6.22
S002264,Premium Supply Solutions 2264,Noida,10,84.66,2.76
S002265,Ultra Supply Solutions 2265,Chennai,18,90.14,7.52
S002266,Pro Supply Solutions 2266,Jaipur,8,83.99,4.95
S002267,Standard Supply Solutions 2267,Chennai,9,65.12,2.89
S002268,Eco Supply Solutions 2268,Hyderabad,30,74.6,0.45
S002269,Ultra Supply Solutions 2269,Chennai,12,91.47,11.12
S002270,NextGen Supply Solutions 2270,Chennai,24,90.25,1.13
S002271,Advanced Supply Solutions 2271,Lucknow,9,65.35,4.09
S002272,Advanced Supply Solutions 2272,Hyderabad,29,80.99,2.45
S002273,Smart Supply Solutions 2273,Chennai,22,79.87,6.03
S002274,Industrial Supply Solutions 2274,Coimbatore,27,87.18,2.5
S002275,Ultra Supply Solutions 2275,Noida,17,69.25,8.89
S002276,Industrial Supply Solutions 2276,Delhi,28,86.13,2.85
S002277,Smart Supply Solutions 2277,Indore,13,97.2,2.39
S002278,Pro Supply Solutions 2278,Delhi,16,77.64,2.76
S002279,Advanced Supply Solutions 2279,Delhi,4,76.47,3.71
S002280,Standard Supply Solutions 2280,Kolkata,7,65.96,7.77
S002281,Eco Supply Solutions 2281,Jaipur,24,66.95,2.67
S002282,Advanced Supply Solutions 2282,Delhi,12,96.67,8.42
S002283,Advanced Supply Solutions 2283,Kochi,5,98.17,5.28
S002284,Eco Supply Solutions 2284,Delhi,11,65.19,2.52
S002285,Standard Supply Solutions 2285,Kochi,12,95.62,3.03
S002286,Power Supply Solutions 2286,Mumbai,23,70.91,6.42
S002287,NextGen Supply Solutions 2287,Kolkata,5,84.09,4.67
S002288,Power Supply Solutions 2288,Noida,3,88.06,6.26
S002289,NextGen Supply Solutions 2289,Hyderabad,23,77.21,9.79
S002290,Industrial Supply Solutions 2290,Noida,6,82.99,0.74
S002291,Advanced Supply Solutions 2291,Jaipur,14,86.34,4.84
S002292,Advanced Supply Solutions 2292,Noida,22,71.59,5.1
S002293,Smart Supply Solutions 2293,Pune,17,98.8,3.16
S002294,Eco Supply Solutions 2294,Kochi,6,71.93,5.41
S002295,Eco Supply Solutions 2295,Jaipur,23,65.35,6.89
S002296,Power Supply Solutions 2296,Chennai,4,97.11,7.1
S002297,Ultra Supply Solutions 2297,Kochi,9,79.59,8.1
S002298,Industrial Supply Solutions 2298,Indore,6,78.55,1.11
S002299,Smart Supply Solutions 2299,Lucknow,17,74.37,5.63
S002300,Power Supply Solutions 2300,Jaipur,22,65.88,9.14
S002301,Smart Supply Solutions 2301,Kochi,21,74.0,5.57
S002302,Ultra Supply Solutions 2302,Lucknow,6,78.37,7.95
S002303,Premium Supply Solutions 2303,Chennai,12,82.69,7.17
S002304,Power Supply Solutions 2304,Jaipur,7,80.56,5.68
S002305,NextGen Supply Solutions 2305,Delhi,12,94.89,1.13
S002306,Pro Supply Solutions 2306,Pune,9,95.99,7.67
S002307,Advanced Supply Solutions 2307,Coimbatore,23,75.78,6.51
S002308,Ultra Supply Solutions 2308,Chennai,24,97.62,0.27
S002309,Advanced Supply Solutions 2309,Lucknow,25,94.41,2.64
S002310,Premium Supply Solutions 2310,Kolkata,8,96.54,0.92
S002311,Smart Supply Solutions 2311,Hyderabad,3,89.02,6.93
S002312,Pro Supply Solutions 2312,Mumbai,3,71.74,0.38
S002313,Premium Supply Solutions 2313,Gurgaon,26,71.64,10.14
S002314,Pro Supply Solutions 2314,Kolkata,28,95.89,11.38
S002315,Smart Supply Solutions 2315,Ahmedabad,8,82.24,11.71
S002316,Pro Supply Solutions 2316,Bangalore,27,95.28,2.87
S002317,Pro Supply Solutions 2317,Chennai,17,89.5,6.04
S002318,Industrial Supply Solutions 2318,Bangalore,8,72.23,10.72
S002319,Power Supply Solutions 2319,Chennai,11,78.08,8.31
S002320,Eco Supply Solutions 2320,Indore,10,97.91,3.73
S002321,Pro Supply Solutions 2321,Delhi,24,65.67,10.04
S002322,Pro Supply Solutions 2322,Jaipur,8,89.3,6.97
S002323,Advanced Supply Solutions 2323,Bangalore,8,98.28,8.81
S002324,Standard Supply Solutions 2324,Gurgaon,23,68.54,11.64
S002325,Eco Supply Solutions 2325,Indore,11,74.25,11.97
S002326,Power Supply Solutions 2326,Pune,10,83.6,6.16
S002327,Advanced Supply Solutions 2327,Delhi,25,93.69,2.05
S002328,Ultra Supply Solutions 2328,Gurgaon,29,82.22,7.51
S002329,Pro Supply Solutions 2329,Chennai,18,67.03,7.8
S002330,Ultra Supply Solutions 2330,Indore,26,69.32,6.95
S002331,Pro Supply Solutions 2331,Lucknow,26,77.78,5.18
S002332,Power Supply Solutions 2332,Noida,19,75.97,7.06
S002333,Smart Supply Solutions 2333,Noida,26,72.47,6.5
S002334,Power Supply Solutions 2334,Noida,3,93.56,11.35
S002335,Premium Supply Solutions 2335,Kochi,3,65.91,10.08
S002336,Premium Supply Solutions 2336,Kolkata,27,93.2,4.85
S002337,Industrial Supply Solutions 2337,Coimbatore,6,96.34,6.94
S002338,Power Supply Solutions 2338,Pune,23,86.42,6.88
S002339,Pro Supply Solutions 2339,Bangalore,14,86.26,6.23
S002340,Pro Supply Solutions 2340,Jaipur,25,70.07,0.89
S002341,Industrial Supply Solutions 2341,Noida,21,84.32,8.61
S002342,Advanced Supply Solutions 2342,Coimbatore,5,77.76,8.83
S002343,Premium Supply Solutions 2343,Pune,12,72.79,5.91
S002344,Eco Supply Solutions 2344,Kolkata,22,84.83,10.84
S002345,Premium Supply Solutions 2345,Gurgaon,28,65.04,11.81
S002346,Smart Supply Solutions 2346,Pune,25,74.4,9.79
S002347,Advanced Supply Solutions 2347,Kochi,27,87.31,11.15
S002348,Eco Supply Solutions 2348,Kolkata,29,80.47,5.95
S002349,Smart Supply Solutions 2349,Kochi,28,69.95,10.99
S002350,Premium Supply Solutions 2350,Kolkata,19,65.04,11.23
S002351,Premium Supply Solutions 2351,Hyderabad,12,74.19,7.56
S002352,Eco Supply Solutions 2352,Coimbatore,17,83.67,1.98
S002353,Eco Supply Solutions 2353,Ahmedabad,25,83.17,2.0
S002354,Industrial Supply Solutions 2354,Jaipur,14,69.46,5.77
S002355,Advanced Supply Solutions 2355,Gurgaon,26,85.87,8.88
S002356,Advanced Supply Solutions 2356,Pune,22,98.96,6.12
S002357,Industrial Supply Solutions 2357,Coimbatore,8,84.89,9.64
S002358,Smart Supply Solutions 2358,Pune,28,82.94,9.28
S002359,Standard Supply Solutions 2359,Coimbatore,26,86.17,2.6
S002360,Smart Supply Solutions 2360,Kolkata,19,94.91,1.77
S002361,Standard Supply Solutions 2361,Bangalore,8,97.16,8.53
S002362,Eco Supply Solutions 2362,Bangalore,9,66.4,3.98
S002363,NextGen Supply Solutions 2363,Coimbatore,26,71.97,11.19
S002364,Ultra Supply Solutions 2364,Ahmedabad,3,68.94,10.45
S002365,Eco Supply Solutions 2365,Pune,16,91.26,5.52
S002366,Pro Supply Solutions 2366,Lucknow,20,66.55,7.05
S002367,Advanced Supply Solutions 2367,Noida,9,95.69,10.2
S002368,Ultra Supply Solutions 2368,Noida,27,65.7,10.48
S002369,Ultra Supply Solutions 2369,Jaipur,17,85.49,6.77
S002370,Ultra Supply Solutions 2370,Delhi,4,74.37,11.67
S002371,Pro Supply Solutions 2371,Mumbai,11,81.0,6.35
S002372,Power Supply Solutions 2372,Jaipur,14,80.02,0.69
S002373,Pro Supply Solutions 2373,Bangalore,9,90.46,6.84
S002374,Advanced Supply Solutions 2374,Jaipur,29,81.89,9.37
S002375,Standard Supply Solutions 2375,Mumbai,13,79.32,11.82
S002376,NextGen Supply Solutions 2376,Hyderabad,17,89.83,1.44
S002377,Power Supply Solutions 2377,Jaipur,17,96.48,5.4
S002378,Ultra Supply Solutions 2378,Noida,9,91.99,7.12
S002379,NextGen Supply Solutions 2379,Kochi,18,90.05,10.6
S002380,Standard Supply Solutions 2380,Noida,12,81.58,8.65
S002381,Ultra Supply Solutions 2381,Bangalore,3,95.61,2.93
S002382,Industrial Supply Solutions 2382,Lucknow,14,81.53,10.34
S002383,NextGen Supply Solutions 2383,Hyderabad,19,96.63,8.04
S002384,Advanced Supply Solutions 2384,Delhi,6,92.3,10.76
S002385,Ultra Supply Solutions 2385,Indore,24,70.11,10.05
S002386,Power Supply Solutions 2386,Delhi,21,66.6,1.73
S002387,NextGen Supply Solutions 2387,Gurgaon,11,90.19,11.53
S002388,NextGen Supply Solutions 2388,Ahmedabad,19,88.32,5.56
S002389,NextGen Supply Solutions 2389,Kochi,11,85.47,11.79
S002390,Power Supply Solutions 2390,Bangalore,21,98.19,2.41
S002391,Industrial Supply Solutions 2391,Mumbai,7,83.54,9.56
S002392,Ultra Supply Solutions 2392,Kolkata,20,76.83,3.8
S002393,Standard Supply Solutions 2393,Ahmedabad,4,84.21,0.73
S002394,Smart Supply Solutions 2394,Kochi,3,65.97,11.93
S002395,Industrial Supply Solutions 2395,Noida,10,84.69,3.78
S002396,Standard Supply Solutions 2396,Delhi,7,95.68,1.15
S002397,NextGen Supply Solutions 2397,Coimbatore,16,65.15,10.35
S002398,Smart Supply Solutions 2398,Kolkata,7,93.74,5.3
S002399,Smart Supply Solutions 2399,Coimbatore,9,92.27,7.0
S002400,Eco Supply Solutions 2400,Coimbatore,5,68.61,11.82
S002401,Pro Supply Solutions 2401,Bangalore,27,93.79,5.87
S002402,Premium Supply Solutions 2402,Ahmedabad,23,90.96,0.99
S002403,Eco Supply Solutions 2403,Kolkata,9,81.7,8.36
S002404,Premium Supply Solutions 2404,Ahmedabad,6,73.34,8.59
S002405,Advanced Supply Solutions 2405,Chennai,26,74.8,2.49
S002406,Power Supply Solutions 2406,Gurgaon,21,85.82,6.64
S002407,Advanced Supply Solutions 2407,Ahmedabad,27,73.37,4.56
S002408,Eco Supply Solutions 2408,Delhi,7,76.06,0.79
S002409,Industrial Supply Solutions 2409,Chennai,13,96.65,3.88
S002410,Pro Supply Solutions 2410,Delhi,6,89.8,10.93
S002411,Premium Supply Solutions 2411,Lucknow,14,90.03,3.74
S002412,Pro Supply Solutions 2412,Jaipur,7,97.5,2.83
S002413,NextGen Supply Solutions 2413,Pune,3,65.2,11.3
S002414,Standard Supply Solutions 2414,Pune,17,73.31,4.71
S002415,Advanced Supply Solutions 2415,Mumbai,30,87.37,11.3
S002416,Industrial Supply Solutions 2416,Chennai,21,79.9,10.59
S002417,Standard Supply Solutions 2417,Indore,24,68.84,5.75
S002418,Smart Supply Solutions 2418,Bangalore,25,91.56,4.74
S002419,Smart Supply Solutions 2419,Delhi,30,66.6,1.83
S002420,Industrial Supply Solutions 2420,Lucknow,6,83.49,2.45
S002421,Smart Supply Solutions 2421,Ahmedabad,10,84.12,2.94
S002422,Eco Supply Solutions 2422,Bangalore,20,86.62,5.75
S002423,Ultra Supply Solutions 2423,Ahmedabad,25,75.73,4.59
S002424,Power Supply Solutions 2424,Kochi,24,65.8,9.64
S002425,Advanced Supply Solutions 2425,Pune,23,95.23,3.7
S002426,Premium Supply Solutions 2426,Pune,11,96.59,5.21
S002427,Ultra Supply Solutions 2427,Noida,13,81.39,1.65
S002428,Advanced Supply Solutions 2428,Gurgaon,5,65.7,3.4
S002429,Eco Supply Solutions 2429,Indore,11,84.75,9.44
S002430,Smart Supply Solutions 2430,Hyderabad,7,75.74,8.54
S002431,Ultra Supply Solutions 2431,Chennai,29,71.2,4.95
S002432,Premium Supply Solutions 2432,Delhi,5,70.74,7.01
S002433,Ultra Supply Solutions 2433,Noida,13,71.09,5.61
S002434,Advanced Supply Solutions 2434,Gurgaon,27,76.25,10.76
S002435,Industrial Supply Solutions 2435,Pune,29,74.54,4.86
S002436,Premium Supply Solutions 2436,Jaipur,13,93.44,8.72
S002437,Standard Supply Solutions 2437,Pune,16,81.84,2.78
S002438,Standard Supply Solutions 2438,Delhi,17,79.54,5.32
S002439,Power Supply Solutions 2439,Gurgaon,26,69.96,6.45
S002440,Pro Supply Solutions 2440,Kolkata,24,94.78,1.43
S002441,Advanced Supply Solutions 2441,Kolkata,17,66.86,7.13
S002442,Pro Supply Solutions 2442,Kolkata,13,73.14,6.98
S002443,Pro Supply Solutions 2443,Indore,13,86.13,2.07
S002444,Smart Supply Solutions 2444,Hyderabad,21,88.88,11.98
S002445,Premium Supply Solutions 2445,Chennai,26,92.24,1.29
S002446,Power Supply Solutions 2446,Gurgaon,5,78.95,10.76
S002447,Eco Supply Solutions 2447,Bangalore,24,76.79,6.0
S002448,Standard Supply Solutions 2448,Delhi,16,74.81,2.83
S002449,Eco Supply Solutions 2449,Gurgaon,7,84.32,1.53
S002450,Ultra Supply Solutions 2450,Ahmedabad,5,76.85,8.45
S002451,Power Supply Solutions 2451,Noida,12,76.16,9.1
S002452,Power Supply Solutions 2452,Mumbai,9,65.57,8.15
S002453,Pro Supply Solutions 2453,Lucknow,5,97.24,5.15
S002454,Industrial Supply Solutions 2454,Ahmedabad,11,67.06,2.24
S002455,Power Supply Solutions 2455,Delhi,26,74.21,9.52
S002456,Industrial Supply Solutions 2456,Chennai,23,96.33,10.48
S002457,Power Supply Solutions 2457,Hyderabad,8,90.0,4.82
S002458,NextGen Supply Solutions 2458,Kolkata,21,84.66,10.13
S002459,Industrial Supply Solutions 2459,Ahmedabad,15,87.47,7.7
S002460,Pro Supply Solutions 2460,Kolkata,23,68.3,6.42
S002461,Advanced Supply Solutions 2461,Kolkata,9,92.49,7.41
S002462,Smart Supply Solutions 2462,Indore,4,73.5,1.47
S002463,Industrial Supply Solutions 2463,Coimbatore,11,97.51,1.68
S002464,Premium Supply Solutions 2464,Ahmedabad,30,72.87,8.78
S002465,Industrial Supply Solutions 2465,Coimbatore,18,86.26,11.65
S002466,Ultra Supply Solutions 2466,Lucknow,4,83.54,6.19
S002467,Advanced Supply Solutions 2467,Lucknow,30,69.87,0.84
S002468,Standard Supply Solutions 2468,Hyderabad,26,77.34,1.0
S002469,Pro Supply Solutions 2469,Kolkata,18,91.56,5.71
S002470,Smart Supply Solutions 2470,Pune,23,72.23,7.96
S002471,Power Supply Solutions 2471,Mumbai,8,97.74,2.03
S002472,Pro Supply Solutions 2472,Mumbai,19,75.05,0.59
S002473,Industrial Supply Solutions 2473,Noida,28,86.31,8.81
S002474,Smart Supply Solutions 2474,Kolkata,15,86.04,1.92
S002475,Ultra Supply Solutions 2475,Lucknow,4,81.01,5.37
S002476,Industrial Supply Solutions 2476,Jaipur,24,87.28,8.86
S002477,Premium Supply Solutions 2477,Mumbai,23,90.28,1.68
S002478,Ultra Supply Solutions 2478,Lucknow,23,86.05,5.42
S002479,Pro Supply Solutions 2479,Ahmedabad,21,84.04,1.52
S002480,Ultra Supply Solutions 2480,Gurgaon,6,85.63,4.3
S002481,Standard Supply Solutions 2481,Coimbatore,6,78.67,10.97
S002482,Power Supply Solutions 2482,Noida,25,67.41,8.3
S002483,Ultra Supply Solutions 2483,Bangalore,26,70.43,0.47
S002484,Advanced Supply Solutions 2484,Delhi,5,85.63,1.79
S002485,Advanced Supply Solutions 2485,Kolkata,19,96.52,3.67
S002486,Advanced Supply Solutions 2486,Bangalore,17,65.88,10.77
S002487,Smart Supply Solutions 2487,Delhi,12,83.5,9.02
S002488,Pro Supply Solutions 2488,Kochi,21,73.57,7.49
S002489,Premium Supply Solutions 2489,Delhi,28,84.1,2.0
S002490,Advanced Supply Solutions 2490,Delhi,26,90.49,11.16
S002491,Advanced Supply Solutions 2491,Ahmedabad,7,90.01,9.74
S002492,Smart Supply Solutions 2492,Mumbai,15,89.65,3.03
S002493,NextGen Supply Solutions 2493,Hyderabad,29,91.48,4.97
S002494,Standard Supply Solutions 2494,Coimbatore,9,67.47,5.25
S002495,Industrial Supply Solutions 2495,Noida,26,82.33,7.13
S002496,Smart Supply Solutions 2496,Coimbatore,16,73.9,4.62
S002497,Power Supply Solutions 2497,Pune,17,96.32,2.68
S002498,Power Supply Solutions 2498,Noida,10,91.62,8.07
S002499,Pro Supply Solutions 2499,Hyderabad,28,68.66,8.2
S002500,NextGen Supply Solutions 2500,Pune,17,73.27,5.42
S002501,Standard Supply Solutions 2501,Delhi,19,80.48,5.94
S002502,Pro Supply Solutions 2502,Lucknow,15,97.74,0.8
S002503,Eco Supply Solutions 2503,Delhi,5,68.73,5.58
S002504,Ultra Supply Solutions 2504,Hyderabad,24,84.31,9.64
S002505,Pro Supply Solutions 2505,Kolkata,12,76.6,7.18
S002506,Ultra Supply Solutions 2506,Kolkata,9,86.98,11.06
S002507,Industrial Supply Solutions 2507,Chennai,24,87.06,8.65
S002508,Standard Supply Solutions 2508,Pune,8,73.18,9.38
S002509,Industrial Supply Solutions 2509,Chennai,22,91.72,5.61
S002510,Ultra Supply Solutions 2510,Indore,16,68.1,2.25
S002511,Ultra Supply Solutions 2511,Gurgaon,25,92.82,10.96
S002512,Power Supply Solutions 2512,Indore,4,72.21,7.98
S002513,NextGen Supply Solutions 2513,Coimbatore,24,85.05,10.93
S002514,Eco Supply Solutions 2514,Noida,9,76.81,7.49
S002515,Ultra Supply Solutions 2515,Lucknow,27,85.73,5.56
S002516,Power Supply Solutions 2516,Mumbai,12,74.09,1.79
S002517,Standard Supply Solutions 2517,Coimbatore,3,84.34,4.89
S002518,Premium Supply Solutions 2518,Ahmedabad,16,65.28,7.25
S002519,Ultra Supply Solutions 2519,Jaipur,4,77.73,11.18
S002520,NextGen Supply Solutions 2520,Hyderabad,10,93.1,9.99
S002521,Industrial Supply Solutions 2521,Mumbai,23,80.74,6.26
S002522,Pro Supply Solutions 2522,Indore,18,81.97,5.49
S002523,Smart Supply Solutions 2523,Kolkata,22,86.13,0.59
S002524,Industrial Supply Solutions 2524,Delhi,27,79.76,4.34
S002525,Pro Supply Solutions 2525,Noida,16,94.48,11.78
S002526,Advanced Supply Solutions 2526,Bangalore,18,78.71,8.94
S002527,Industrial Supply Solutions 2527,Kolkata,4,97.05,6.39
S002528,NextGen Supply Solutions 2528,Jaipur,11,94.82,10.38
S002529,Pro Supply Solutions 2529,Jaipur,23,79.32,0.47
S002530,Premium Supply Solutions 2530,Kolkata,4,77.44,11.5
S002531,NextGen Supply Solutions 2531,Pune,13,88.01,8.46
S002532,Power Supply Solutions 2532,Lucknow,6,90.68,0.36
S002533,NextGen Supply Solutions 2533,Delhi,27,71.32,8.53
S002534,Ultra Supply Solutions 2534,Mumbai,18,73.2,1.18
S002535,Power Supply Solutions 2535,Delhi,21,69.97,7.75
S002536,NextGen Supply Solutions 2536,Lucknow,22,90.86,3.75
S002537,Advanced Supply Solutions 2537,Ahmedabad,9,89.29,2.7
S002538,Industrial Supply Solutions 2538,Bangalore,4,71.43,7.61
S002539,Premium Supply Solutions 2539,Delhi,14,83.25,5.32
S002540,Industrial Supply Solutions 2540,Bangalore,8,90.98,0.96
S002541,Smart Supply Solutions 2541,Lucknow,12,97.2,9.9
S002542,NextGen Supply Solutions 2542,Kolkata,11,71.07,3.34
S002543,NextGen Supply Solutions 2543,Mumbai,24,75.35,7.49
S002544,Advanced Supply Solutions 2544,Hyderabad,11,76.84,7.39
S002545,Power Supply Solutions 2545,Noida,7,86.25,0.86
S002546,Advanced Supply Solutions 2546,Gurgaon,29,69.64,11.97
S002547,Eco Supply Solutions 2547,Lucknow,4,71.58,5.48
S002548,Premium Supply Solutions 2548,Bangalore,8,91.53,2.62
S002549,Industrial Supply Solutions 2549,Mumbai,12,83.43,5.35
S002550,Ultra Supply Solutions 2550,Bangalore,4,70.45,7.32
S002551,Standard Supply Solutions 2551,Pune,28,78.21,0.24
S002552,Advanced Supply Solutions 2552,Jaipur,12,69.57,3.74
S002553,Smart Supply Solutions 2553,Noida,24,77.33,6.53
S002554,Ultra Supply Solutions 2554,Hyderabad,6,78.61,8.39
S002555,NextGen Supply Solutions 2555,Noida,17,68.81,3.9
S002556,Ultra Supply Solutions 2556,Noida,6,67.03,4.97
S002557,Eco Supply Solutions 2557,Delhi,9,94.97,2.81
S002558,Power Supply Solutions 2558,Kochi,14,95.18,3.66
S002559,Pro Supply Solutions 2559,Kolkata,27,65.09,8.31
S002560,Premium Supply Solutions 2560,Bangalore,11,86.8,4.18
S002561,Premium Supply Solutions 2561,Pune,24,68.19,3.5
S002562,Advanced Supply Solutions 2562,Kochi,5,92.54,3.72
S002563,Standard Supply Solutions 2563,Jaipur,10,94.91,7.43
S002564,Industrial Supply Solutions 2564,Chennai,19,85.96,6.82
S002565,Industrial Supply Solutions 2565,Kochi,16,85.85,5.0
S002566,Industrial Supply Solutions 2566,Pune,17,77.63,7.66
S002567,Power Supply Solutions 2567,Kolkata,21,73.48,7.78
S002568,Standard Supply Solutions 2568,Mumbai,5,81.98,0.35
S002569,Advanced Supply Solutions 2569,Coimbatore,22,69.55,4.2
S002570,NextGen Supply Solutions 2570,Lucknow,27,87.86,3.08
S002571,Power Supply Solutions 2571,Delhi,24,80.98,9.98
S002572,NextGen Supply Solutions 2572,Gurgaon,10,71.04,3.45
S002573,Eco Supply Solutions 2573,Kochi,12,85.0,3.94
S002574,Advanced Supply Solutions 2574,Ahmedabad,29,92.04,6.55
S002575,Eco Supply Solutions 2575,Hyderabad,25,85.02,6.66
S002576,Advanced Supply Solutions 2576,Coimbatore,29,83.01,9.77
S002577,Smart Supply Solutions 2577,Chennai,28,93.82,4.78
S002578,Industrial Supply Solutions 2578,Pune,15,65.37,3.52
S002579,NextGen Supply Solutions 2579,Pune,6,85.97,7.38
S002580,Premium Supply Solutions 2580,Indore,9,78.93,8.79
S002581,Advanced Supply Solutions 2581,Ahmedabad,11,71.58,11.91
S002582,Industrial Supply Solutions 2582,Jaipur,26,98.31,7.5
S002583,Smart Supply Solutions 2583,Indore,10,78.73,5.99
S002584,Standard Supply Solutions 2584,Indore,13,76.4,1.77
S002585,Advanced Supply Solutions 2585,Lucknow,26,70.75,11.85
S002586,Premium Supply Solutions 2586,Indore,7,98.92,8.28
S002587,Advanced Supply Solutions 2587,Coimbatore,21,94.11,2.15
S002588,Advanced Supply Solutions 2588,Coimbatore,18,67.38,5.62
S002589,NextGen Supply Solutions 2589,Noida,30,84.24,6.81
S002590,Advanced Supply Solutions 2590,Mumbai,16,70.01,2.76
S002591,Pro Supply Solutions 2591,Mumbai,17,89.34,8.84
S002592,Advanced Supply Solutions 2592,Kochi,26,81.46,7.87
S002593,Premium Supply Solutions 2593,Chennai,30,68.75,2.96
S002594,Pro Supply Solutions 2594,Lucknow,23,83.94,11.88
S002595,Advanced Supply Solutions 2595,Coimbatore,22,95.96,11.39
S002596,Ultra Supply Solutions 2596,Noida,27,76.6,3.33
S002597,Premium Supply Solutions 2597,Kochi,30,66.73,5.41
S002598,Eco Supply Solutions 2598,Chennai,23,97.14,10.76
S002599,NextGen Supply Solutions 2599,Kolkata,11,69.82,4.99
S002600,Advanced Supply Solutions 2600,Coimbatore,20,81.15,11.47
S002601,Power Supply Solutions 2601,Lucknow,9,83.52,2.56
S002602,Smart Supply Solutions 2602,Hyderabad,17,73.06,8.74
S002603,Eco Supply Solutions 2603,Coimbatore,15,71.03,7.27
S002604,Premium Supply Solutions 2604,Ahmedabad,30,68.85,4.28
S002605,Eco Supply Solutions 2605,Lucknow,18,67.38,8.67
S002606,Eco Supply Solutions 2606,Ahmedabad,29,82.28,0.49
S002607,Premium Supply Solutions 2607,Noida,25,93.63,2.92
S002608,Smart Supply Solutions 2608,Delhi,26,69.31,3.28
S002609,Premium Supply Solutions 2609,Pune,7,88.82,1.59
S002610,Power Supply Solutions 2610,Jaipur,24,79.03,0.6
S002611,NextGen Supply Solutions 2611,Lucknow,10,66.2,4.36
S002612,NextGen Supply Solutions 2612,Mumbai,19,83.22,2.78
S002613,Ultra Supply Solutions 2613,Mumbai,16,73.57,1.77
S002614,Premium Supply Solutions 2614,Jaipur,10,85.58,2.06
S002615,Ultra Supply Solutions 2615,Kolkata,30,76.88,9.95
S002616,Standard Supply Solutions 2616,Lucknow,27,87.66,1.32
S002617,NextGen Supply Solutions 2617,Mumbai,19,96.23,8.75
S002618,Pro Supply Solutions 2618,Pune,3,73.31,0.84
S002619,Standard Supply Solutions 2619,Bangalore,8,96.95,0.68
S002620,NextGen Supply Solutions 2620,Jaipur,9,71.95,5.42
S002621,Power Supply Solutions 2621,Lucknow,30,67.4,4.71
S002622,Advanced Supply Solutions 2622,Delhi,14,71.55,6.64
S002623,Ultra Supply Solutions 2623,Chennai,4,92.71,8.49
S002624,NextGen Supply Solutions 2624,Lucknow,19,88.04,3.86
S002625,NextGen Supply Solutions 2625,Bangalore,29,98.01,2.49
S002626,Premium Supply Solutions 2626,Coimbatore,18,89.13,9.9
S002627,NextGen Supply Solutions 2627,Indore,15,79.03,2.15
S002628,Pro Supply Solutions 2628,Delhi,7,95.34,9.62
S002629,Standard Supply Solutions 2629,Delhi,27,97.58,7.13
